id,text,created_at,like_count,retweet_count,lang,username
914325887524462594,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,Sun Oct 01 03:07:33 +0000 2017,0,1550,en,Suz4Reg
914325908537921536,"RT @LOLGOP: Just another Puerto Rican who wants everything done for them, according to Trump. https://t.co/9QbyeLs35o",Sun Oct 01 03:07:38 +0000 2017,0,965,en,Jose_Russel
914325910685351936,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:07:39 +0000 2017,0,639,en,electrolic_luv
914325914430951430,"@kylegriffin1 BREAKING NEWS - 
To get #Trump's attention, #USNavy refits #PuertoRicoRelief ship &amp; invites him to play golf!

#PuertoRico #HurricaneMaria https://t.co/fL7x6e4Ixx",Sun Oct 01 03:07:40 +0000 2017,4,2,en,Meiguo_nan
914325916054061057,RT @s_webber: Great to see @Teamsters stepping up to help solve the logistical challenge 🇵🇷🇺🇸#UnionStrong https://t.co/kdbn2QJV0F,Sun Oct 01 03:07:40 +0000 2017,0,16,en,CrawfordAuction
914325921166848001,RT @MasterTes: #Redskins CB Josh Norman announced he’s donating $100k to help Puerto Rico following Hurricane Maria https://t.co/mjDFMusAmP,Sun Oct 01 03:07:41 +0000 2017,0,62,en,sqk19
914325921246728193,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 03:07:41 +0000 2017,0,4585,en,DawnaRickelz
914325932550131712,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 03:07:44 +0000 2017,0,3525,en,wchrisg0528
914325943635677184,RT @Jkburke21Jim: Puerto Rico's cop telling the truth about Hurricane Maria's aid https://t.co/MAk3VSxk76 via @YouTube,Sun Oct 01 03:07:46 +0000 2017,0,1,en,Jkburke21Jim
914325948106817536,".@realDonaldTrump - Retweet this. Do something compassionate today instead of bitching about the NFL and ""rude"" mayors. https://t.co/IAXtAIl813",Sun Oct 01 03:07:48 +0000 2017,14,6,en,CocoDaBear
